Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
"KP-P135P,KP-P150P,KP-P250P Oil Filter",4627133,Power,110,522243.25,Oil Filter
KP-P150P Fuel Filter,26561118,Power,90,378873.57,fuel filter
"KP-P150P,KP-P250P Main Air Filter",2652C831,Power,14,345912,air filter
"KP-P150P,KP-P250P Safety Air Filter",2652C832,Power,56,708011.86,air filter
KP-P250P Fuel Filter,3611274,Power,56,567425.6,fuel filter
KP-P250P Pre-Fuel Filter,4794132,Power,57,798437.72,fuel filter
KP-P250P Speed Sensor,2874A008,Power,4,61972,sensor
KP-P350P Fan Belt,CH12789,Power,4,124764,belt
KP-P350P Fuel Filter,CH10930,Power,55,464439.93,fuel filter
KP-P350P Fuel Filter,CH10931,Power,55,521929.98,fuel filter
KP-P350P Main Air Filter,5458596,Power,8,311320,air filter
KP-P350P Oil Filter,CH10929,Power,54,399593.57,Oil Filter
KP-P80P Fan Belt,2614B655,Power,32,407936,belt
KP-P80P Main Air Filter,26510342,Power,20,216200,air filter
KP-P80P Safety Air Filter,26510343,Power,10,89570,air filter
"KP-P80P,KP-P100P Fuel Filter",4816636,Power,68,351571.93,fuel filter
"KP-P80P,KP-P100P Oil Filter",2654407,Power,65,220805,Oil Filter
"KP-P80P,KP-P100P,KP-P150P Pre-Fuel Filter",4415122,Power,118,404971.13,fuel filter
KW Transducer G3516C,TAS331DG,Power,1,89778.78,Other
Key,5H-2532,Power,1,65.6,Other
Key,5P-8500,Machine/Power,2,2690.71,Other
Kit,3N-3763,,6,18,Other
Kit,455-1180,Power,1,11445.4,Other
Kit Gasket,6V-9897,Power/Remove,15,171685.7,Gasket
Kit Gasket,420-8545,,3,130369.98,Gasket
Kit Gasket,425-9524,Power,1,57196.74,Gasket
Kit Gasket,268-8154,Power,56,361283.43,Gasket
Kit Gaskit J/W PumpD3412,3604174,Power,2,25227.24,Gasket
Kit Isolator,346-1467,Power,3,6,Other
Kit Marker,3469821,power,1,3,Other
Kit Pump,377-7037,Power/Remove,4,376795.74,pump
Kit Relief,422-9537,Power,4,53398.14,Other
Kit Seal,160-9874,Power,1,11411.34,Other
Kit Solenoid,376-4353,Power,1,15026.24,Other
Kit Terminal G3512,6N1875,Power,1,8495.94,Other
Kit- Gasket,291-9152,Power,1,72041.74,Gasket
Kit- Rebuild,294-4935,Power/Remove,1,75365.67,Other
Kit-Gasket,219-6544,,1,50315.16,Gasket
Kit-Seal-H.C,233-9204,,2,6,Other
Knob,4W5972,Power,1,3624.6,Other
L WEAR SPACER,MG19005032,Machine/Remove,88,134778.63,Other
L.F.C. LAMP Wl 656D,5241608,Machines,1,10986.16,Other
LAMP,SI5802024972,Machines,2,1352,Other
LAMP 1000W BT37,610211,Remove,185,702319.37,Other
LEAD SP GEFG25-1,952037,Power,1,12034.71,Other
LEFT COMBINED REAR LIGHT,SNDZ95189811211,Machines,2,6954,Other
LEFT COMBINED REAR LIGHT,SN81252256465,Machines,1,2280,Other
LEFT HEADLAMP ASSEMBLY,SNDZ95189724010,Machines,2,31830,Other
LEFT HEADLIGHT,SI5802034063,Machines,2,22454,Other
LEFT HEADLIGHT 3711-40001,SI5801875455,Machines,2,10660,Other
LEFT REAR LAMP 3716-43054,SI5801755669,Machines,2,11706,Other
LEFT REARVIEW MIRROR,SNDZ13241771910,Machines,2,13680,Other
LEVEL GUAGE,W110021285,Machines,1,2055.01,Other
LEVER Throttle G3412,9Y2635,Power,1,42607.32,Other
LIFT PUMP,10000-65693,Machines,2,105144.6,pump
LIFTER -VALVE,W01420207,Machines,2,3848,Valve
LIGHT ADJUSTMENT SWITCH O,SI5802055348,Machines,1,1210,Other
LIGHT SWITCH 3800-63876,SI5801309424,Machines,1,410,Other
LIMIT VALVE,SN5623051110,Machines,2,8514,Valve
LINER-CYLINDER,W014200071,Machines,2,16146,Other
LINER-CYLINDER (2117826),523-8663,Power,2,69850.97,Other
LOCK RING,536-7824,Machines,3,365.4,Other
LOCKNUT,3K2889,Machines,1,174.44,Other
LOW AIR PRESSURE SWITCH,SI5801271287,Machines,2,904,Other
LOWER HINGE PIN,5230026,Machines,1,5598,Other
LPG Kit Pressure Sensor,9042528080,Machines,1,51381.33,sensor
LUBE OIL TOOL SET,54616608,Machines,2,1,Oil
Leak Fuel Pipe Assembly 258540FF Sealing Ring,17010196,Power,2,956.48,Other
Leak Fuel Pipe Assembly 258540NN Sealing Ring,17010038,Machines,9,2866.5,Other
Lever,91a0523200,Machines,4,11765.8,Other
Lever,7T-3268,Machine/Remove,17,19839.1,Other
Lever As,5682931,Machines,2,8463.36,Other
LineInjector Fuel,111-4128,Power,1,37313.68,Other
Liner,197-9322,Power,1,39040.56,Other
Liner Kit,353-5995,Power/Remove,6,63806.26,Other
Liner Ring,01183301,Power,3,11070.31,Other
Lip Seal,154-4482,Power,1,1,Other
Lip Seal,135-2651,Power/Remove,13,91268.37,Other
Lip Seal Act Shaft.,5H1190,Machines,5,12726.42,Other
Lock,9L-3899,Machines,32,24358.4,Other
Lock,2A-4429,Power,490,40789.21,Other
Lock,197-7055,Power/Remove,16,1144.03,Other
Lock Nut,6V-4605,Power/Remove,62,13969.07,nut
Lock Nut,168-7800,Machine/Remove,20,7953.97,nut
Lock Nut,229-5469,Machines,1,24737.83,nut
Lock Nut,7S-7816,Remove,2,6396.1,nut
Lock Nut-Bearing,229-5472,Machines,1,8891.99,bearing
Lock Retainer,9F-7707,Machine/Remove,119,21381.18,Other
Lock washer (3412),3L6789,Power,8,56.96,washer
Low Gear-8JS11TC-B,LowGear,Machines,1,25000,Other
Lower Pressure Hose (L=950),Z320190080,MHE,1,1954.75,pressure hose
Lpg Filter,91A6500611,Machine/Remove,22,71874.35,filter
Lugs,2075432,Power,2,6,Other
Lugs,2398548,Power,3,9,Other
Lugs,1259997,Power,3,9,Other
"M.S Barrel Nipple 1/2""",MSBarrelNipple,Power,24,1920,Other
"M.S Elbow 3"" sch40","MSElbow3""sch40",Power,4,3472,Other
"M.S Elbow 4"" sch40 Long","MSElbow4""Long",Power,10,18000,Other
"M.S Elbow 4"" sch40 Short","MSElbow4""Short",Power,6,10800,Other
"M.S Elbow 5"" sch40 Short","MSElbow5""Short",Power,2,5280,Other
"M.S Flange 3"" 145PCD","MSFlange3""145PCD",Power,8,6720,Other
"M.S Flange 3"" 160PCD","MSFlange3""160PCD",Power,8,7280,Other
"M.S Flange 4"" 180PCD","MSFlange4""180PCD",Power,24,24504,Other
"M.S Flange 5"" 210PCD","MSFlange5""210PCD",Power,7,11550,Other
"M.S Flange 6"" 240PCD","MSFlange6""240PCD",Power,2,4400,Other
"M.S Reducer 4"" X 3"" sch40","MSReducer4""X3""",Power,8,5120,Other
"M.S Socket 1/2""",MSSocket,Power,12,960,Other
M14 Brake Hose (L=1230),Z3B371001,MHE,2,4902.75,brake
M14 Brake Hose (L=960),Z3B371002,MHE,1,1313.9,brake
M18 Brake Hose (Brake System),Z1B02200500,MHE,1,1313.9,brake
M18 Brake Hose (L=1500) ZL50F,Z520220300,MHE,1,1617.35,brake
MAGNET VALVE,SN81521606115,Machines,5,7455,Valve
MAIN PUMP AND STORAGE TANK ASSEMBLY,SNDZ97189230520,Machines,2,4872,pump
MAIN SHAFT BUSHING SET,SNBY81500010046,Machines,7,2352,Other
MAL 20W50 MCL (208L),MAL20W50MCL,Power,4117,1583238.93,Other
MAL GREASE EP2,MAL GREASE EP2,Machine/Remove,275,240912.78,Other
MANUAL OIL PUMP For cabin lifting,SNDZ93259820100,Machines,4,20124,Oil Pump
MASH FOR Y STAINER,100194469,Power,1,1,Other
MAZDA Air Filter,TLY-A-403,Machines,5,8115.7,air filter
MAZDA Fuel Filter,TLY-F-402,Machines,5,3272,fuel filter
"MCCB NM8-400S, 400A 3P",CHNTNM8400S,Power,6,92400,Other
MECHANICAL ABSORBER,SI5801651111,Machines,2,10300,Other
MG,3PACB1250AMP,Power,3,219450,Other
MG Brake Slice,w44002102,Machines,5,93764.25,brake
MG14004025,MG14004025,Machines,18,32595.09,Other
MG19004035,MG19004035,Machines,4,730.3,Other
MIRROR,SI5801572473,Machines,4,15252,Other
MOBIL GREASE UNIREX N3,MOBIL GREASE N3,Machines,5,3570,Other
MOBIL NUTO (HYDRAULIC) H 32,NUTO H-32,MHE,416,215051.2,Other
MS GASKIT,204-9598,Power,76,37861.57,Gasket
MS Pipe 1*1/2 16g 20ft (16 guage),MS Pipe 1*1/2 16g 20,power,16,28028.22,Other
MULTIS EP 2 180K TOT AE,MULTISEP2180K,Logistics,208,151216,Other
Magnetic Contactor LC1D12 220 Volt 25 Amp,MagneticContactor,Power,1,1800,Other
Magnetic Pick-UP,1000005402,Machines,1,17213.49,Other
Main Air Filter,26510380,Power,46,395692,air filter
Main Alternator Bearing,4479622,,1,109195.8,bearing
Main Bearing,W010250430,MHE,24,24906,bearing
Main Belt,5364693,Machines,1,6112.62,belt
Main Cartridge of Air Cleaner,B222100000363,Machines,5,45404,Other
Main Contactor,70001-17800,Machines,1,51443.78,Other
Main Contactor,35810-63420,Machines,2,89197.58,Other
Main Engine Belt,5364634,Machines,2,17201.64,belt
Main Engine Belt,W014201300,Machines,2,20262.3,belt
Main Small Belt,5370427,Machines,1,4399.37,belt
Main hoist steel pipe,12005267,Machines,1,80652.5,Other
Main power Relay Wheel loader 656D,5252594,Machines,1,14452.71,relay
Manifold Air Pressure Sensor,149-7064,Power/Remove,3,366723.46,sensor
Mechanical Injector - Reconditioned - TriTek,0R8338(RCTriTek),Power,4,469576,injector
Middle support,60162891,Machines,1,23434.54,Other
Middle support,60162890,Machines,1,5639.04,Other
Mobil Vacuoline 528,Mobil Vacuoline 528,Logistics,178,59503.62,Other
Mobile Pegasus 1005 gas engine oil,MobilPegasus1005,Power,2276,783220.8,Oil
Motor Gp,338-3454,Machines,2,288718,Other
Mount,259-2174,,11,33,Other
Mount Assembly,9W-9930,Machines,4,42905.24,Other
Mount Assembly,9W-9931,Power,4,46944.28,Other
Mount-Sandvi,227-0172,Machine/Remove,14,112027.02,Other
Mpu (Speed Sensor),4P-5820,,1,38283.84,sensor
Mpu Sensor,318-1180,Power,1,26824.6,sensor
Ms Nut & Bolts,MS NUT & BOLTS,Remove,100,1669,nut
Multi Groove Belt,Belt 3039376,Power,80,923920,belt
Multi Groove Belt,206996,Power,48,221760,belt
N.G.E.O Advance,331-7031,Power/Remove,860,558178.09,Other
NARROW V-BELT,W010515730,Machines,2,11541.27,belt
NARROW V-BELT,W010515720,Machines,2,3208.01,belt
NGEC COOLANT,362-2182,Power/Remove,218,275311.89,Other
NIVEAJ CONTROL SENSOR,500060,Machines,1,1,sensor
NKR-100(48 - 65 Amp) Thermal Over Load Relay,NKR100(4865Amp),Power,21,41416.23,relay
NKR-25 (12 - 18 Amp) Thermal Over Load Relay,NKR25(1218Amp),Power,43,43000,relay
NKR-25 (17 - 25 Amp) Thermal Over Load Relay,NKR25(1725Amp),Power,21,23100,relay
NKR-25 (4 - 6 Amp) Thermal Over Load Relay,NKR25(46Amp),Power,24,26400,relay
NKR-25 (5.5 - 8 Amp) Thermal Over Load Relay,NKR25(558Amp),Power,12,13200,relay
NS-180 EXIDE,NS-180 EXIDE,Power,2,25400,Other
NUT,0114-8870,Machines,2,2,nut
NUT,B051742020,Machines,6,1435.5,nut
NUT,0114-8849,Machines,2,2,nut
NUT,0112-7084,Machines,4,4,nut
NUT 2,B050332018,Machines,10,1117.95,nut
NUT EXGEN,0114-8923,Machines,32,32,nut
NUT EXHAUST,0114-3075,Machines,49,49,nut
NUT FULL,2J3506,Machines,2,302.6,nut
NUT JAM,2354546,Power,2,412.07,nut
NUT M10 GB/T6170,B050331008,Machines,8,92.56,nut
NUT M24GB6172.1,A210309000007,Machines,2,161.98,nut
NUTO H-46,NUTO H-46,Machines,7214,3661347.35,Other
NUTO H-68 (HYDO),NUTO H-68,Machines,82,27634,Other
NXC-09 Contactor 9 Amps 3 Pole,NXC09,Power,23,20700,Other
NXC-100 Contactor 95 Amps 3 Pole,NXC100,Power,13,74750,Other
NXC-120 Contactor 110 Amps 3 Pole,NXC120,Power,11,147230.76,Other
NXC-160 Contactor 150 Amps 3 pole,NXC160,Power,8,108800,Other
NXC-32 Contactor 32 Amps 3 Pole,NXC32,Power,21,38036.25,Other
NXC-40 Contactor 40 Amps 3 Pole,NXC40,Power,34,99166.66,Other
NXC-65 Contactor 65 Amps 3 Pole,NXC65,Power,16,50370.37,Other
NXC-85 Contactor 80 Amp 3 Pole,NXC85,Power,3,14550,Other
Nozzle,7C-2238,Power,12,231219.22,Other
Nozzle A Inj,10R4022,Power,4,64230.03,Other
Nut,A210307000028,Machines,42,1718.87,nut
Nut,1B-2578,Machines,3,164.41,nut
Nut,5B-9079,,36,3568.32,nut
Nut,9S-8752,,9,27,nut
Nut,5C-2890,Machines,22,30,nut
Nut,6V-8186,Machines,7,73.41,nut
Nut,6V8187,Machines,1,39.21,nut
Nut,3T9196,power,2,6,nut
Nut,1F-7958,Machine/Remove,18,1185.57,nut
Nut,9L-7712,Power/Remove,69,1905.33,nut
Nut,2N-2766,Machine/Remove,4,2948.58,nut
Nut Carburetor 3412,6L5296,Machines,2,1645.61,nut
Nut Jam,317-1121,,1,278.04,nut
Nut M 30*2G,A210310000002,Machines,8,1940.61,nut
Nut M24,B050332421,Machines,2,231.4,nut
Nut Square,3E-6916,Power/Remove,103,140250.36,nut
Nut spl (3412),2354547,Power,2,1821.83,nut
"Nut/Bolt/Washer (2""*1/2"")","NutBoltWasher2""*12",Remove,60,2637.6,washer
"NutBoltWasher 3"" * 1/2""",NutBoltWasher,Remove,60,5604.6,Other
O RING,B160140951,Machines,11,1713.25,o-ring
O RING,1H8278,Power,15,20838.18,o-ring
O RING,B160120265,Machines,70,2275,o-ring
O RING,0329313,Power,1,984.7,o-ring
O RING (B160130160),536-7830,Machines,1,336.69,o-ring
O RING 165*3.5,W110012650,Machines,3,406.5,o-ring
O Ring,Z320470100,MHE,10,336,o-ring
O Ring,B160141750,Machines,37,4810,o-ring
O Ring,1237562,Power,4,843.72,o-ring
O Ring,6V-3907,Power,8,7709.5,o-ring
O Ring,Z510210070,Machines,37,1202.5,o-ring
O Ring,5J3886,Machines,4,2306.88,o-ring
O Ring,B160130975,Machines,37,3607.5,o-ring
O Ring 32.5*2.65,B160120325,MHE,90,2677.5,o-ring
O Ring 339x3.5,W110012130,Machines,1,494.16,o-ring
O Ring 53*3.55,B160130001,MHE,18,4214.7,o-ring
O Ring Ignation,125-1372,Machines,92,58419.15,o-ring
O Ring Uvb,32222,Power,1,3758.96,o-ring
O ring,3S9643,Power/Remove,4,6914.4,o-ring
O ring of Dozer,1235748,Machines,1,8079.69,o-ring
O ring of crane,A210609000287,Machines,2,201.84,o-ring
O ring of crane 2,A210609000117,Machines,1,198.36,o-ring
O ring of crane 3,A210609000268,Machines,2,2199.36,o-ring
O-Ring,17084642,Machines,18,28312.2,o-ring
O-Ring,17084645,Machines,9,3042.9,o-ring
O-Ring,17084649,Machines,2,3861.2,o-ring
O-Ring,17084620,Machines,36,82414.08,o-ring
O-Ring,17667219,Machines,2,2467.64,o-ring
O-Ring,17667111,Machines,8,7472,o-ring
O-Ring,17667656,Machines,2,26874,o-ring
O-Ring/Gasket for pneumatic Actuator,60102389,Machines,1,43385,Gasket
O-SEAL,118-0993,Machines,12,230150.91,Other
OIL COOLER GASKIT,146-8947,Power,1,148861.7,Gasket
OIL FILTER,1234-3124,,7,141032.22,Oil Filter
OIL FILTER,W45001010,Machines,28,2109059.57,Oil Filter
OIL FILTER,7W-2327,Logistics/Power/Remove,15,88198.53,Oil Filter
OIL FILTER,462-1171,Power/Remove,30,209741.55,Oil Filter
OIL FILTER,W43001180,Machines,16,198508.61,Oil Filter
OIL FILTER,1000078942,Machines,2,29350.42,Oil Filter
OIL FILTER,5188099,Machine/Remove,7,27914.42,Oil Filter
OIL FILTER,10000-65570,Machine/Remove,3,13066.03,Oil Filter
OIL FILTER (W43001180),536-2813,Machines,1,12158.25,Oil Filter
OIL FILTER ELEMENT,1000086246,Machines,16,103894.07,Oil Filter
OIL PAN SEALING GASKET,SNBY614150004,Machines,2,1356,Gasket
OIL PAN SEALING GASKET,SNBY610800150083,Machines,1,1275,Gasket
OIL PAN SEALING GASKET,SNBY614040021,Machines,2,126,Gasket
OIL QUANTITY SENSOR,SNDZ93259551131,Machines,2,7258,sensor
OIL SEAL,W110010620,Machines,6,229.62,Oil Seal
OIL SEAL GEAR BOX,SNBSF91444,Machines,4,724,Oil Seal
OIL SENSOR,SI5801271746,Machines,2,6208,sensor
OIL TEMP SENSOR,2615172,Power,1,8290.35,sensor
OR-2921 (Mechanical REMAN Fuel Injectors),OR2921(ReconTriTek,Power,12,725628,Other
ORIFICE,4P-3689,Power,3,96250.53,Other
OUTLET PIPE,SNDZ96259535023,Machines,1,3528,Other
OiI Seal 100x120x13,W110016140,Machines,2,9329.88,Other
Oil Cooler,5370479,Machines,2,111223.12,Oil Cooler
Oil Cooler Gasket,277-2500,Power,3,31337.79,Gasket
Oil Cooler Gasket,2817040,Power,3,14927.97,Gasket
Oil Cooler Gaskit,1S-5772,Power,7,2064.37,Gasket
Oil Cooler Kit,5328796,Machine/Remove,2,326144.37,Oil Cooler
Oil Cupm10X1,B150101000,Machines,20,774.3,Oil
Oil Filter,901-104,Machines,6,4583.34,Oil Filter
Oil Filter,934-623,Remove,5,10,Oil Filter
Oil Filter,220-1523,Machines,32,151006.99,Oil Filter
Oil Filter,10000-66719,Logistics/Remove,8,32152.86,Oil Filter
Oil Filter,1000065412,Power,6,75207.31,Oil Filter
Oil Filter,1R-0739,Machine/Power/Remove,15,42305.22,Oil Filter
Oil Filter,60016674,Machine/Remove,13,45500,Oil Filter
Oil Filter,60034226 Oil Filter,Machine/Remove,1,5863.6,Oil Filter
Oil Filter,1000071714,Power/Remove,8,28200,Oil Filter
Oil Filter,915-155,Logistics/Power/Remove,3,17143.45,Oil Filter
Oil Filter,1R-1808,Logistics/Machine/Power/Remove,31,368458.81,Oil Filter
Oil Filter,7W-2326,Machine/Power/Remove,21,101051.18,Oil Filter
Oil Filter,10000-64852,Logistics/Power/Remove,4,6085.62,Oil Filter
Oil Filter,Oil Filter-7W-2326,MHE,37,57750,Oil Filter
Oil Filter,Oil-Filter-322-3155,Machines,31,151900,Oil Filter
Oil Filter,1R-0716,Logistics/Power/Remove,19,211824.39,Oil Filter
Oil Filter,30A4000105,Machine/Remove,1,1635.97,Oil Filter
Oil Filter,1R-1808 (Local),Power,2,7315,Oil Filter
Oil Filter,1R-0726,Logistics/Machine/Power/Remove,32,622259.79,Oil Filter
Oil Filter,1R-0716 (Local),Power,2,6518,Oil Filter
Oil Filter,10000-61076,Power/Remove,4,20827.77,Oil Filter
Oil Filter,B222100000063,Machines,5,57246.37,Oil Filter
Oil Filter,32B4020100,Machine/Remove,2,9161.93,Oil Filter
Oil Filter,91H2001870 (Local),Machines,3,3547.39,Oil Filter
Oil Filter,952-779,Machine/Remove,2,5796.01,Oil Filter
Oil Filter (10000-61076),10000-71715,Power,2,9881.46,Oil Filter
Oil Filter (Local),1R-0739 (Local),Machines,8,39371.72,Oil Filter
Oil Filter (Local),W014200411 (Local),Machines,9,50349.46,Oil Filter
Oil Filter (Local),Millat-2654408,MHE,21,10994.77,Oil Filter
Oil Filter (Local),32A40-00400 (Local),Machines,65,84500,Oil Filter
Oil Filter (Petrol Lifter),C-2601,Machines,16,15200,Oil Filter
Oil Filter (SAM ROOLER),W47119146 (Local),Machines,5,15183.25,Oil Filter
Oil Filter (W014200411),527-1993,Machines,11,68599.24,Oil Filter
Oil Filter (W014200411),527-1993 (Local),Machines,13,72828.92,Oil Filter
Oil Filter Assm,126-1813,Machines,20,373451.7,Oil Filter
Oil Filter Dumper,BY1000424655,Machines,4,5507.01,Oil Filter
Oil Filter Element,W010502991 (Local),Machines,140,123691.62,Oil Filter
Oil Filter LT-CAT,220-1523 (Local),MHE,41,65294.75,Oil Filter
Oil Pressure Guage,626-150,Power,1,1889.79,Oil Pressure Guage
Oil Pressure MG,5191622,Machines,3,37283.85,Oil
Oil Pressure Sensor,246-8150,Power,6,71365.01,sensor
Oil Pressure Sensor,216-8684,Power/Remove,2,98123.42,sensor
Oil Pressure Sensor,10000-63033,Power/Remove,4,120873.13,sensor
Oil Pressure Sensor,163-8523,Power/Remove,11,231384.79,sensor
Oil Pressure Switch,622-333,Power,6,70670.18,Oil
Oil Pump,1161980,Power,1,80170,Oil Pump
Oil Seal,9123305200,Machines,1,4151.64,Oil Seal
Oil Seal,994-639,Power,1,1,Oil Seal
Oil Seal,B160410010,MHE,11,3010.7,Oil Seal
Oil Seal PD45*62*12,B160210036,MHE,18,2217.6,Oil Seal
Oil Seal Set (Transmission System),W043100190,MHE,1,4886,Oil Seal
Oil Sender / Pressure,265-7429,Logistics/Power/Remove,4,116355.84,Oil Pressure Sender
Oil Sensor,274-6719,,1,3,sensor
Oil Temp Sensor,130-8299,Power,5,77053.85,sensor
Oil Water Separator Filter Core,60016675,Machines,13,67808.08,water separator
Oil chamber bolt SOR C15,3563561,Power,20,91744.8,bolt
Oil in put Pump,W47008275,Machines,1,11569.11,Oil Pump
Oil pressure sensor,60286272,Machines,2,11518.39,sensor
Oil pressure sensor of crane 30 Ton,60034466,Machines,3,36287.08,sensor
Oil sensor,5242225,Machines,4,25275.74,sensor
Oil sensor,3801882,Power,3,31832.9,sensor
Oring of crane 4,A210609000220,Machines,1,42.72,Other
Out pipe of fuel of fMG,W47008205,Machines,12,41043.24,Other
Outer Spring,7N-1904,Power,48,113326.06,Other
Overhauling Gasket- 8JS11TC-B,OverhaulingGasket,Machines,1,5000,Gasket
PARKING BRAKE SYSTEM CONN,SI5801298996,Machines,2,354,brake
PARTS MANUAL CHASIS,NL0000016705,Machines,1,47291.04,Other
PARTS MANUAL CHSAIS,NL0000016706,Machines,1,47291.04,Other
PILOT FILTER,1850337,,1,17722.02,filter
PIN,Z6205905200,Machines,4,2093.28,Other
PIN,5356281,Machines,1,7323.66,Other
PIN (W010250140),537-1562,MHE,6,10774.08,Other
PIN MANDREL,MG19026013,Machines,6,33577.92,Other
PIN-PISTON,1388506,Power,1,21333.3,Other
PIPE HYDRAULIC,94A3935106,MHE,26,529669.92,Other
PIPE UNION,9838,Power,3,3,Other
PIPE UNION,9830,Power,9,9,Other
PISTON,W47002089,Logistics/Machine/Remove,6,37886.76,Other
PLATE,0122-3218,Machines,1,1,Other
PLATE (W020100750),552-2511,Machines,1,105.27,Other
PLUG,5H4279,Machines,1,843.66,Other
PLUG,1541817,Power,1,1288.56,Other
PLUG-SPARK 430-4521,PLUG-SPARK 430-4521,Power/Remove,7,351733.04,Other
PLUNGER,114-5477,Power,2,11807.8,Other
POTENTIOMETER,70002-73120,Machines,5,133677.42,Other
POTENTIOMETER,70002-31201+0,Machines,3,86270.94,Other
POTENTIOMETER ACC LINK,70000-45711,Machine/Power/Remove,3,96936.77,Other
POTENTIOMETER EPS SENS,38920-00550,Machine/Remove,4,100058.74,Other
POWER SUPPLY SWITCH,SI5801315516,Machines,1,410,Other
POWER TAKE OFF PRESSURE S,SI5801654412,Machines,1,1056,Other
PRE FUEL FILTER ELEMENT,1000078991,Machines,14,31460.86,fuel filter
PRE-HEATING SWITCH 3800-5,SI5801343478,Machines,1,433,Other
PRE-HEATING SWITCH 3800-6,SI5801309422,Machines,1,410,Other
PRESSING PLATE FOR REAR L,SI5802136826,Machines,2,2784,Other
PRESSURE LIMITING VALVE,SN81521016269,Machines,5,6270,Valve
PRESSURE SENSOR,SNBY612600090667,Machines,2,5202,sensor
PRESSURE SWITCH,SN1791007100681,Machines,4,2876,Other
PRESSURE SWITCH,SN1791007100691,Machines,6,3762,Other
PRESSURE SWITCH,SI5802007990,Machines,2,866,Other
PRESSURE SWITCH,SN1990127100413,Machines,4,2508,Other
PRESURE GUAGE,7162140,Power,1,1,Other
PRESURE GUAGE,7473901,Power,1,1,Other
PRESURE GUAGE,7201871,Power,1,1,Other
PRIMARY FILTER,3731765,Machines,16,695497.34,filter
PRIMARY FILTER,2456375,Machine/Remove,9,131333.71,filter
PROGRAMER ELNEC,PROGRAMER ELNEC,Power,1,168922,Other
PSTE,9824,Power,1,1,Other
PULL ROD ASSEMBLY6105-300,SI5801315762,Machines,1,214,Other
PULLEY,9309200100,Machines,8,191288.64,Other
PULLEY (9542721500),9309200700,MHE,4,23302.08,Other
PULLEY (95A0100100),9309200800,MHE,7,60327.54,Other
PUMP,8N-0879,Power/Remove,1,4445.99,Oil Pump
Packing AC 320 D2GC,2457824,Machines,1,1068.89,Other
Pak Bridge,Weldingrod10no,Power,7,41681.81,Other
Parts KIT,1716721,Power,3,9,Other
Petrol Engine Oil (MAL PAKISTAN),MAL 15W40 Super1000,MHE,9,4333.62,Oil
Pilot filter element,A222100000119,Machines,2,13643,filter
Pilot hydraulic filter,5190298,Machines,9,62755.44,filter
Pin,Z310010760,Machines,2,10681.86,Other
Pin,8T-8729,Machines,49,10390.49,Other
Pin,4N-0684,Machines,1,1490.5,Other
Pin AS,MG19026380,Machines,8,39124.4,Other
Pin Assembly,MG19026065,Machines,6,12601.96,Other
Pin Assembly,MG19026061,Machines,2,7335.38,Other
Pin Bolt,W44002012,Machines,50,25488.05,bolt
Pin Cotter,A210491000018,Machines,2,98.49,Other
Pinshaft,A820301020421,Machines,2,4620.86,Other
Pipe (L=690),Z3B20016000,MHE,1,7388.15,Other
Pipe leake ( GEP-18 ),1000012375,Power,1,16918.89,Other
Piston Body,192-3896,,1,762081.6,Other
Piston Outpot Seal Ring,Z320470590,MHE,12,11361,Other
Piston Ring,7W-2221,Remove,5,36471.04,Other
Piston Ring,9Y-4124,,16,657360,Other
Piston Ring,7E-7581,Remove,5,87443,Other
Piston Ring Rr151,32108,Machines,1,677.95,Other
Piston Seal,178-8132,Machines,2,35016.16,Other
Piston Seal Ring,Z320470490,MHE,24,3670.8,Other
Plain Bearing Bush,32101,Machines,8,187112.58,bearing
Plate Backup Small,A820699000291,Machines,8,2494.22,Other
Plate Clutch,122-1881,Machines,12,148441.32,Other
Plug,9S-8006,Power,1,743.49,Other
Plug,234-1858,Power,4,297.48,Other
Plug,234-1857,Power,4,283.46,Other
Plug,234-1856,,17,51,Other
Plug Assembly Connector (3 Pin),230-4013,Power,20,39024.33,Other
Plug Clear,6Y0473,Power/Remove,2,23.73,Other
Plug Pipe,8T-6767,Power,1,410.9,Other
Plug Rubber,3670896,Power,2,6,Other
Position sensor,60286252,Machines,1,5453.16,sensor
Potential Meter,7E-1246,Power,1,6239.83,Other
Potential Transformer,154-3488,Power/Remove,13,108680.26,Other
Potentiometer,1229458,Power,1,39664.8,Other
Potentiometr,1279070,Power,4,192000.48,Other
Pre Fuel Filter,W010251011,Machines,17,13983.93,fuel filter
Pressure  Sensor,60173718,Machines,4,136000,sensor
Pressure Sensor,276-6793,Power,7,184928.63,sensor
Pressure guage valve,5102323,Machines,1,52926.52,Valve
Primary Fuel Filter (9291),567-5242,Machines,39,150150,fuel filter
Proact Programer,1402304,Power,1,520171,Other
Proximity switch 2,B241200000440,Machines,2,9420,Other
Pump AS-F XF,3901557,Machines,2,49972.38,pump
Pump Dual Gear,60241047,Machines,2,140000,pump
Pump Gp,284-5000,Power,1,210012.86,pump
Push Rod,4W-6682,Power/Remove,3,6554.22,Other
Push-Pull Cable Pedal,W110004521,Machines,1,1538.16,Other
Pvc Tape,PVC TAPE (Blue),,149,11779.5,Other
Pyrometer,285-6670,Power,1,217621.28,Other
RADIATOR INLET HOSE,SNDZ96259535021,Machines,1,870,hose
RADIATOR OUTLET HOSE,SNDZ96259535011,Machines,1,2319,hose
