Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
Altenator Spacer,136-1107,Power,1,7914.39,Other
Alternaor,SR4@1100V (used),Power,1,2500000,Other
Alternator,Alternator,Power,2,2393410.67,Other
Alternator Bearing,154-3032,Power/Remove,2,713135.55,bearing
Alternator Belt,350-7106,,3,69978.72,belt
Alternator Belt,CH11037,Power,64,238080,belt
Alternator Belt,141-7116,Power/Remove,4,43762.15,belt
Alternator GP 262-8093,Alternator GP,Power,1,219644,Other
Alternator SR4@400V,Alternator SR4@400V,Power,1,500000,Other
Alternator Seal,127-4374,Remove,2,123802.51,Other
Alternator W47119248,Alternator,Machines,1,39726.93,Other
Alternator disk,954265,Power,1,15501.13,Other
Amp meter 250 Amp,Amparemeter,Power,1,1200,Other
Ampere Meter,620-803,Power,2,7144.92,Other
Auxiliary Cartridge of Air Cleaner,B222100000364,Machines,3,34204,Other
Auxiliary steel wire,10503763,Machines,1,54382.5,Other
Auxiliary steel wire 3,12005281,Machines,1,48370,Other
Avr,10000-47135,Power,3,211062.22,Other
Avr (R-250),10000-12943,Power,2,120115.21,Other
BALL VALVE 1/2,DN20,Power,1,1,Valve
BALL VALVE 1/2,DN25,Power,1,1,Valve
BALL VALVE 1/2,3/6,Power,1,1,Valve
BALL VALVE 1/2,DN32,Power,1,1,Valve
BALL VALVE 1/2,DN40,Power,1,1,Valve
BATTERY MAIN SWITCH,SN199100760100,Machines,2,1602,Other
BATTERY MAIN SWITCH,SNDZ95189763010,Machines,2,1932,Other
BATTERY SWITCH,SI5801271426,Machines,1,1011,Other
BEARING,7H-6981,Machines,2,2,bearing
BEARING,133-5253,Machines,2,5155.17,bearing
BEARING,1N-8320,Machines,2,3040.24,bearing
BEARING,243-5220,Machine/Remove,3,140566.65,bearing
BEARING,6F-5953,Machines,2,6694.58,bearing
BEARING,2S7056,Power,1,6329.6,bearing
BEARING,7N-5244,Machine/Remove,8,16531.06,bearing
BEARING,108-1761,Remove,1,3,bearing
BEARING,536-7825,Machines,4,2745.72,bearing
BEARING  SPL,172-5317,Machines,2,3853.7,bearing
BEARING (B120123016),536-7889,Machines,2,1896.6,bearing
BEARING CAGED,123-8913,Machines,4,9583.52,bearing
"BEARING COMP, SENSOR",70001-07610,Machines,2,83248.8,bearing
"BEARING COMP, SENSOR",70000-78100,Machines,1,42045.72,bearing
BEARING HUB MG,W44000001,Machines,3,12155.03,bearing
BEARING HUB MG,W44000002,Machines,1,4526.39,bearing
BEARING KIT,9Y5304,Power,1,16261.74,bearing
BEARING KIT,7E-1552,Machines,3,645855.84,bearing
BEARING-SEM,5386704 - Y09A05,Machines,2,9134,bearing
BEARING-SEM Y09A02,5386705Y09A02,Machines,2,7636,bearing
BELT,A53,Machines,1,1,belt
BELT,5L4995,Machines,7,47280.11,belt
BELT,2614B558-197,Power,2,2,belt
BELT,A70,Machines,1,1,belt
BELT,A48,Machines,1,1,belt
BELT,B63,Machines,1,1,belt
BELT,B72,Machines,2,2,belt
BELT,B50,Machines,1,1,belt
BELT,B74,Machines,5,5,belt
BELT,8790,Power,1,1,belt
BELT,166-3351,Power,1,1,belt
BELT,9650,Power,4,4,belt
BELT,B77,Machines,2,2,belt
BELT,A49,Machines,1,1,belt
BELT,B34,Machines,1,1,belt
BELT,8770,Power,4,4,belt
BELT,B56,Machines,1,1,belt
BELT-FAN,20000-12381,Power,4,32796.12,belt
BOLT,0114-8268,Machines,40,40,u-bolt
BOLT,B041802065,Machines,55,11880,u-bolt
BOLT,B040432080,Machines,10,3723.6,u-bolt
BOLT,0111-2636,Machines,6,6,u-bolt
BOLT,W47008236,Machines,12,8736,u-bolt
BOLT,B040911012,Machines,51,1225.53,u-bolt
BOLT,W010250040,Machines,36,14796,u-bolt
BOLT,B040911030,Machines,4,71.2,u-bolt
BOLT,0112-2455,Machines,4,4,u-bolt
BOLT,1H-5514,Power,13,217.85,u-bolt
BOLT,1D4586,Power,1,385.37,u-bolt
BOLT,B040911645,Machines,10,1041.3,u-bolt
BOLT EXGEN,0111-2510,Machines,4,4,bolt
BOLT HEX,0111-2706,Machines,4,4,bolt
BRACKET FAN DRIVE,9042503370,MHE,3,106861.23,fan
BRAKE CHAMBER,SN81511016264,Machines,2,2964,brake
BRAKE CLAMP PIN,W041400662,Machines,4,3061.6,brake
BRAKE SLICE,W44000180,Machines,37,53761.88,brake
BRAKE VALVE PEDAL,SNDZ9100360080,Machines,1,2955,Valve
BRAZING ROD SET,9826,Power,1,1,Other
BREAKER,6N-9349,Machine/Remove,4,29633.44,Other
BREATHER,9Y-2988,Machine/Remove,7,28561.22,Other
BUFFER,3495691,Power,2,26950.11,Other
BUILDABLE HOSE,4464903,Machines,1,7751.9,hose
BULB H1,SNDZ93189723017,Machines,15,1245,bulb
BULB PY21W,SNDZ93189723028,Machines,15,450,bulb
BULB W5W,SNDZ93189723019,Machines,15,435,bulb
BURNING SEAT DIL 44,BURNING SEAT DIL 44,Power,1,8349,Other
BURNING SEAT DIL 48/QFP 100,BURNINGSEATDIL48,Power,1,51436,Other
BURNING SEAT HCS12-2,BURNING SEAT HCS12-2,Power,1,48093,Other
BUSH,558028,Machines,8,27952,Other
BUSH MG HUB,MG19026029,Machines,5,8199.44,Other
BUSH OF CAMSHAFT,W47119021,Machines,12,2904,Other
BUSH OF CAMSHAFT,W47119020,Machines,60,14520,Other
BUSH OF CAMSHAFT,W010250250,,19,7541.1,Other
BUSHING,MG19026023,Machines,16,22954.4,Other
BUSHING,MG19006005,Machines,10,28666.9,Other
BUTERFLY VALVE KIT,568399-01,Machines,1,1,Valve
BYPASS GP (3412),1453251,Power,1,354174.61,Other
BYPASS Oil Filter,LF777,Power,144,561588.08,Oil Filter
"Bakelite 2"" width X 2"" Thick",FiberRodBusbar,Power,60,85020,Other
Ball Bearing,3L-1425,Machine/Remove,3,31606.09,bearing
Ball Bearing 6005,BallBearing6005,Power,12,9600,bearing
Ball Bearing 6201,BallBearing6201,Power,12,4950,bearing
Ball Bearing 6202,BallBearing6202,Power,12,4583.33,bearing
Ball Bearing 6204,BallBearing6204,Power,6,2800,bearing
Ball Valve 1/2,Ball Valve 1/2,,8,5696.32,Valve
"Ball Valve 1/2"" KITZ",BallValve,Power,12,19944,Valve
Band Filter,8N-4707,Power/Remove,15,3861.36,filter
Base AS  551,3621367,Machines,1,109210.12,Other
Base As,195-1068,Machines,1,14242.58,Other
Base As,190-8970,Machines,1,60624.13,Other
Base Assembly,137-4367,Machines,1,20552.54,Other
Base Assy Fuel Filter,136-5017,Machines,1,56959.52,fuel filter
Bass Ass,276-8180,,1,3,Other
Battery Charger,3395996,Power,5,10,Battery charger
Battery Key Switch,7N-0718,Machines,1,28795.25,Other
Bear As Roller,108-7930,Machine/Remove,1,18498.81,Other
Bearing,8H-9789,Power/Remove,3,20624.5,bearing
Bearing,6H-3957,Machines,1,1,bearing
Bearing,346-8990,Power/Remove,5,30859.59,bearing
Bearing,6Y-6488,,2,269542.14,bearing
Bearing,334-2671,,1,8332.54,bearing
Bearing,1W-6005,Machine/Remove,3,3756.02,bearing
Bearing,127-5400,Machine/Remove,3,39845.52,bearing
Bearing,6V2830,Power,1,1945.32,bearing
Bearing,156-1871,Machines,1,1903.5,bearing
Bearing,5P-6836,Power/Remove,5,15885.15,bearing
Bearing,138-8175,Machines,1,2323.14,bearing
Bearing  310,B120135027,Machines,1,2484.72,bearing
Bearing 109,B120114516,MHE,9,6322.05,bearing
Bearing 206,B120123016,Machines,1,726.45,bearing
Bearing 212,B120126022,Machines,1,2681.34,bearing
Bearing 307,B120133521,Machines,1,1331.97,bearing
Bearing Bush,32107,Machines,2,15146.93,bearing
Bearing G3512,5P3418,Machines,1,2658.26,bearing
Bearing G3512,5P7807,Machines,1,5864.34,bearing
Bearing Kit,97080,Machine/Remove,9,1649936.17,bearing
Bearing Rod,232-3226,Machines,10,10,bearing
Bearing Seal,118-1655,Power,25,48106.52,bearing
Bearing Sleeve,6Y-1895,Machines,1,1,bearing
Bearing-Connecting Rod,2302520,Machines,2,50008.11,bearing
BearingSKF600422C3,BearingSKF600422C3,Machine/Remove,2,840,Other
BearingSKF620522C3,BearingSKF620522C3,Machine/Remove,2,1040,Other
Bearings,6V-9163,Machines,13,159488.6,bearing
Beeds Glass,9U5271,Power,50,15351,Other
Bellow Assembly,270-5320,,2,6,Other
Belt,9L-6641,Power,3,18861.71,belt
Belt,4N-8216,Power/Remove,6,43169.76,belt
Belt Fan,909-006,Power/Remove,3,24815.88,belt
